player,FGM,FTM,TPM,PTS,REB,AST,STL,BLK,TO,FGA,FTA
James Harden,9.4,8.9,3.9,31.7,5.6,6.8,2.1,0.7,4.4,21.1,10.2
Anthony Davis,10,6.6,1,27.7,11.3,3.5,1.7,2.6,2.2,19.3,8.1
Giannis Antetokounmpo,10.2,7.3,0.9,28.7,13.2,6.2,1.3,1.6,3.4,18.1,9.8
Stephen Curry,10.1,4.2,5.6,29.8,5.9,5.7,1.5,0.4,2.9,21.1,4.6
Joel Embiid,9.1,8.2,1.2,27.6,13.6,3.7,0.7,1.9,3.3,18.6,10.2
Karl-Anthony Towns,9.3,5.2,1.9,25.6,12.4,3.6,0.9,1.7,3.1,18,6.1
Damian Lillard,9.1,6.2,3.2,27.6,3.8,7,1.1,0.4,2.6,20.4,6.8
Kawhi Leonard,8,6,2,24.1,7,3.5,1.8,0.6,2,16,7.1
Paul George ,7.7,5.1,3.8,24.2,8.2,4.1,2,0.4,2.6,17,6.1
Nikola Jokic,8.3,3.9,1.1,21.6,11.7,7.8,1.4,0.8,3.2,16.2,4.7
LeBron James,9.9,5,2.1,26.9,8.7,8.8,1.3,0.6,3.7,19.4,7.1
Jimmy Butler,7.6,5.4,1.6,22.2,6.1,5.1,1.9,0.7,1.4,16.4,6.3
Bradley Beal,10.2,4.5,2.6,27.4,5.4,5.6,1.5,0.7,2.6,21.7,5.6
Devin Booker,9.4,6.4,2.2,27.5,4.3,5.7,0.9,0.2,3.7,20.1,7.5
Kyrie Irving,9.5,3.4,2.7,25.1,3.9,7.2,1.4,0.4,2.6,20.2,3.9
Kemba Walker,8.6,4.6,3.2,24.9,4.1,5.9,1.1,0.4,2.5,19,5.5
Trae Young,7.5,4.9,2.4,22.3,4,8.9,1,0.2,3.9,17.3,5.7
Nikola Vucevic,8.3,2.4,1.2,20.1,12.1,4.1,1,1.2,2,17.1,3
Rudy Gobert,6.3,4.4,0,16.9,13.5,2.1,0.8,2.4,1.6,9.3,6.8
John Collins,8.6,3.7,1,21.8,10.9,2,0.5,1.1,2.4,15.4,4.9
Jrue Holiday,8.6,3.1,1.8,22.1,5.1,6.5,1.5,0.8,3,18.4,4
Andre Drummond,7.6,3.3,0.1,18.6,16,1.5,1.7,1.9,2.2,14.2,5.5
Zach LaVine,8.2,5.2,2,23.6,4.8,4.7,1,0.4,3.4,17.8,6.2
Luka Doncic,7.8,5.3,2.6,23.5,8.3,6.7,1.2,0.3,3.6,17.7,7.2
Russell Westbrook ,8.1,3.3,1.7,21.2,8.4,8.2,1.9,0.5,4.1,18.2,4.7
Donovan Mitchell,9.2,4.4,2.6,25.2,4.3,3.8,1.4,0.4,2.8,20.8,5.4
LaMarcus Aldridge,8.1,4.5,0.1,20.8,8.9,2.1,0.5,1.2,1.8,16,5.3
Deandre Ayton,8.5,2.4,0,19.5,11,2,0.9,1.3,1.9,15.3,3.2
Blake Griffin ,8.2,5.6,2.4,24.4,7.7,5.5,0.7,0.4,3.3,18.2,7.4
Mike Conley,6.1,4.9,2.2,19.3,3.4,6,1.2,0.3,1.8,13.4,5.8
Danilo Gallinari,6.2,5.6,2.2,20.1,6.4,2.3,0.7,0.3,1.7,13.8,6.2
DeMar DeRozan,8.2,4.7,0.4,21.4,6,5.2,1.1,0.5,2.5,17.3,5.7
Kristaps Porzingis,6.8,4.4,1.9,19.9,7.6,1.2,0.7,1.9,1.8,15.2,5.5
Kevin Love,5.2,5.1,2.6,18.2,9.2,2.4,0.3,0.3,2,11.8,5.6
Ben Simmons,7.1,3.5,0,17.8,8.8,8.7,1.5,0.9,3.5,12.8,5.6
De'Aaron Fox,6.9,4,1.3,19,4.2,7.9,1.6,0.7,2.9,14.9,5.5
Pascal Siakam,7.1,3.4,1.1,18.8,7.7,3.5,1,0.7,2,13.6,4.3
Zion Williamson,7,4.1,0.9,19.1,7.8,2.7,1.6,0.9,1.9,13.9,5.8
Tobias Harris,7.1,3.3,2,19.4,8,2.9,0.8,0.5,1.8,15,3.8
Khris Middleton,7.2,3,2.5,19.9,6.4,4.6,1.3,0.1,2.4,16.1,3.6
Buddy Hield,8,2.2,3.5,21.8,5.3,2.6,0.8,0.4,1.8,17.5,2.5
Jonas Valanciunas,6.1,4,0.4,16.5,9.7,1.8,0.5,1.5,2.4,11,5
Victor Oladipo ,7.2,2.9,2.1,19.4,5.5,5.1,1.6,0.3,2.2,16.2,3.7
Jaren Jackson Jr,6.3,3.4,1.1,17.1,7.2,1.4,1.1,1.8,2.1,12.9,4.4
Chris Paul,5.3,2.9,2,15.5,3.8,7.7,1.6,0.3,2.6,12.2,3.3
Myles Turner,5.6,2.2,1.1,14.6,7.9,1.8,0.8,2.8,1.5,11.7,3
Lauri Markkanen,6.9,3.4,2.4,19.6,9.5,1.5,0.7,0.6,1.6,15.9,4
Julius Randle,7.1,5.2,1,20.4,8.7,3.7,0.7,0.6,2.8,14.2,7.1
D'Angelo Russell,7.8,2.2,3.2,21,4,5.1,1.3,0.2,2.7,17.4,2.8
CJ McCollum,8.7,2.4,2.5,22.3,4.3,3.2,0.8,0.4,1.5,18.7,2.8
Clint Capela,6.4,2.6,0,15.3,10.8,1.4,0.7,1.7,1.4,9.8,4
Bam Adebayo,5.8,2.7,0,14.4,10.1,3,1.2,1.3,1.9,10.6,3.7
Kyle Lowry ,5.7,2.5,2.5,16.3,4.7,7.1,1.3,0.5,2.7,13.2,3
Derrick Favors,6.5,2.8,0.3,16.1,9.9,1.6,0.9,1.8,1.7,12.2,4
Marvin Bagley III,7.5,3.8,0.6,19.5,10,1.5,0.6,1.2,1.9,14.8,5.3
Malcolm Brogdon,6.5,2.6,1.9,17.4,4.6,4.9,0.8,0.2,1.8,13.2,2.8
Mitchell Robinson,4.8,1.7,0,11.3,9.4,0.8,1,2.8,0.9,7.7,2.7
Eric Bledsoe,5.5,2.5,1.7,15.3,5.1,6,1.5,0.4,2.2,11.5,3.2
Thomas Bryant,6,2.3,0.8,15.1,9.5,2,0.4,1.4,1.2,10.7,2.9
Otto Porter Jr,6.3,1.6,2.1,16.4,5.6,2.5,1.5,0.7,1.3,13.1,1.9
Robert Covington,4.6,1.9,2.4,13.5,5.5,1.3,2,1.3,1.2,10.4,2.5
Jayson Tatum ,6.4,2.6,1.6,17,6.5,2.3,1.1,0.8,1.5,13.8,3.1
Jamal Murray ,7.3,2.7,2.1,19.3,4.6,5.1,0.9,0.4,2.1,16.6,3.2
Domantas Sabonis,6.1,3.6,0.1,16,10.8,3.7,0.8,0.5,2.7,11.1,5
Ja Morant,5.8,3.3,1.5,16.4,4,7.9,1.2,0.4,3.1,13,4.2
Montrezl Harrell,6.4,3.6,0,16.4,6.9,2.2,1,1.5,1.7,10.3,5.6
Josh Richardson,4.9,2.6,2.3,14.8,3.5,2.8,1.4,0.9,1.4,11,3.1
Hassan Whiteside,6,1.9,0,14,11.6,1,0.7,2.3,1.6,11.1,3.1
Draymond Green,4.1,1.1,1,10.3,7.7,7.6,1.5,1.2,2.7,9.1,1.6
Kelly Oubre Jr,6.1,2.8,1.9,16.9,4.9,1.5,1.5,0.9,1.5,13.8,3.7
Al Horford,5.2,1.2,1.1,12.8,6.9,3.8,0.9,1.3,1.4,10.5,1.4
Lou Williams,5.5,4.9,1.4,17.4,3,3.9,0.7,0.1,2.3,12.5,5.6
Brook Lopez,4.5,1.4,2.4,12.9,5,1.2,0.6,2.3,1,9.9,1.6
Gordon Hayward,5.5,2.7,1.3,15.1,5.5,4.4,0.9,0.4,1.7,11.6,3.2
Ricky Rubio,4.1,3.1,1.3,12.4,3.8,8.4,1.4,0.1,2.6,9.7,3.6
Klay Thompson ,7.3,1.5,2.7,18.8,3.4,2.1,0.9,0.5,1.2,15.6,1.7
Jeremy Lamb,5.1,3.1,1.6,15,5.1,2.4,1.1,0.4,1,11.5,3.5
Caris LeVert,6.7,2.5,1.5,17.4,4.5,4.6,1.3,0.6,1.9,14.9,3.5
Shai Gilgeous-Alexander,5.7,2.4,1,14.8,3.3,4.4,1.4,0.6,1.9,12,2.9
Terry Rozier,6.7,1.4,2.3,17.1,6,5.3,1.3,0.5,1.8,16.2,1.8
Aaron Gordon,6.1,2.4,1.6,16.1,7.4,3.5,0.8,0.8,2,13.3,3.2
Gary Harris,6.2,2.2,2,16.6,3.1,2.4,1.4,0.3,1.3,13.3,2.7
Wendell Carter Jr ,5,2.4,0.1,12.5,8.5,2.2,0.7,1.6,1.7,10.2,3
Larry Nance Jr,4.1,1.5,0.6,10.3,9,3.5,1.6,0.7,1.5,7.8,2.2
Steven Adams,6.3,1.9,0,14.4,11.3,1.7,1.5,1,1.7,10.9,3.7
Lonzo Ball,4.8,0.6,1.7,11.9,5.7,8.5,1.7,0.4,2.3,10.8,1.4
Delon Wright,4.7,2.2,0.9,12.6,4.7,4.4,1.5,0.5,1.3,10.7,2.7
Fred VanVleet,5.6,1.7,2.5,15.4,2.9,5.3,0.9,0.3,1.4,13,2
Enes Kanter,5.6,2.6,0.1,13.9,9.6,1.9,0.5,0.4,1.9,10.2,3.2
Miles Bridges,6.4,1.3,1.2,15.4,5.9,1.8,1,0.9,0.8,13.4,1.8
Jeff Teague,4.4,3,0.8,12.7,2.6,8.6,1,0.4,2.3,10.4,3.8
TJ Warren,5.7,2.2,1.5,15.1,3.7,1.4,1.1,0.7,1.1,11.5,2.7
Dewayne Dedmon,4,1.5,1.4,10.8,7.6,1.5,1.1,1.2,1.3,8.1,1.9
Brandon Ingram ,6.6,3.7,0.6,17.4,5.4,3.3,0.8,0.9,2.3,13.4,5.4
Cody Zeller,4.2,2.5,0.1,11,7.2,2.3,0.8,1,1.2,7.5,3.1
Marcus Smart ,3.5,1.5,1.8,10.2,3.3,4.6,2,0.5,1.6,8.1,1.8
Serge Ibaka,6.2,2,0.8,15.2,8.2,1.1,0.4,1.3,1.5,12.9,2.6
Jonathan Isaac,4.3,1.8,1.3,11.6,6.3,1.3,1.1,1.4,1.2,9.7,2.2
Derrick White,5,1.7,1,12.8,4.4,3.7,1.2,0.8,1.6,10.7,2.1
Collin Sexton,6.9,2.8,1.8,18.5,3.2,4.2,0.5,0.1,2.4,15.6,3.4
JaVale McGee,4.9,1.5,0,11.3,7.4,0.8,0.6,1.9,1.5,7.9,2.3
Paul Millsap,4.7,2.6,0.8,12.8,7.3,2,1.2,0.8,1.3,9.6,3.6
Spencer Dinwiddie,4.8,4.1,1.8,15.5,2.4,4.5,0.6,0.3,2,10.8,5.1
Alex Len,5.5,2.4,1.3,14.7,7.3,1.4,0.5,1.2,1.6,11,3.4
Bojan Bogdanovic,5.4,3,2,15.7,4.1,2,0.8,0,1.6,11.1,3.8
Andrew Wiggins,6.6,2.7,1.5,17.5,4.6,2.4,0.9,0.7,1.7,14.8,3.8
DeAndre Jordan,3.8,2.5,0,10.1,10.9,2.1,0.5,1,1.9,6,3.5
Kevon Looney,4.5,1.3,0,10.3,8.4,2.4,0.9,1.1,0.9,7.2,2.1
Marc Gasol,4.2,2.1,1.1,11.6,6.7,3.8,0.9,0.9,1,9.4,2.7
Terrence Ross,5.6,1.7,2.8,15.6,3.5,1.8,0.9,0.4,1.1,13.1,1.9
Tim Hardaway Jr,5.6,3.4,2.3,16.9,3.2,2.2,0.7,0.1,1.4,13.6,3.9
JJ Redick,4.9,2.7,3,15.5,2.3,2.4,0.3,0.2,1.1,11.1,3
Harrison Barnes,5.7,3.1,2.4,16.9,4.7,1.5,0.6,0.2,1.3,13.6,3.7
RJ Barrett,5.5,3.3,2.1,16.4,5.3,3.3,0.8,0.3,2,12.6,4.5
Zach Collins,4.5,2,1.2,12.3,7,1.5,0.5,1.5,1.6,9.6,2.7
Rudy Gay,5.2,1.7,1.1,13.3,7,2.7,0.8,0.5,1.6,11,2.1
Goran Dragic,5.4,2.4,1.7,14.8,3.3,5.1,0.8,0.1,2,12,3
