player,FGM,FGA,FTM,FTA,TPM,REB,AST,STL,BLK,PTS,TO
Anthony Davis,10.6900794,19.89,6.760018,8.3,0.74,11.07,2.16,1.56,2.57,28.88,2.27
Karl-Anthony Towns,8.349985,15.25,4.8099942,5.54,1.6,12.64,2.55,0.78,1.38,23.1,2.05
Stephen Curry,8.0999997,16.79,4.5999857,5.09,4.35,4.5,5.99,1.6,0.19,25.16,2.93
Kevin Durant,8.4800226,16.62,4.8900148,5.51,2.25,6.51,4.86,0.76,1.58,24.09,2.79
James Harden,8.2399086,18.62,8.1699737,9.53,3.41,5.2,8.44,1.74,0.57,28.06,4.12
Kawhi Leonard,8.150016,16.8,5.4799845,6.45,2.24,6.13,3.49,1.84,0.74,24.02,2.11
Giannis Antetokounmpo,8.8500096,16.32,5.8600314,7.74,0.61,9.84,4.47,1.38,1.33,24.18,2.71
LeBron James,9.4599848,17.36,4.8200112,6.69,1.53,8.55,6.04,1.33,0.76,25.28,3.28
Nikola Jokic,6.5899521,13.33,3.5499852,4.23,1.42,10.68,5.96,1.18,0.82,18.16,2.77
Jimmy Butler,7.4899396,16.28,6.479988,7.6,1.29,5.4,4.95,1.94,0.43,22.75,1.94
Paul George,7.740042,17.4,4.7500152,5.52,3.18,5.84,3.15,1.98,0.48,23.41,2.55
Damian Lillard,8.21997,19,6.629985,7.33,3.16,4.34,6.5,1.02,0.3,26.23,2.8
Chris Paul,5.9700578,13.19,3.3000015,3.65,2.45,4.94,7.42,1.56,0.15,17.69,2.13
Joel Embiid,7.9100151,16.23,6.049992,7.8,1.33,10.88,2.99,0.75,1.88,23.2,3.63
Kyrie Irving,8.2799274,17.33,3.8000011,4.27,2.83,3.46,4.93,1.07,0.29,23.18,2.22
Rudy Gobert,5.090015,8.05,3.8299825,5.71,0,11.13,1.46,0.77,2.41,14.01,1.86
Russell Westbrook,8.9099449,20.03,5.8499924,7.24,1.34,9.16,9.12,1.74,0.24,25.01,4.3
Kevin Love,7.179998,16.6,6.0700016,6.94,2.24,11.36,2.27,0.84,0.45,22.67,2.14
Andre Drummond,5.9700334,11.42,2.7100008,4.68,0.28,16.08,1.71,1.43,1.71,14.92,2.28
Victor Oladipo,7.970052,17.24,3.59001,4.52,2.03,5.28,4.16,1.98,0.54,21.57,2.83
Clint Capela,5.869955,9.1,1.960001,3.7,0,11.07,1.07,0.79,1.9,13.7,1.39
Otto Porter Jr.,5.36,10.72,1.3200021,1.59,1.89,5.94,1.66,1.53,0.53,13.93,0.92
Kemba Walker,7.3399832,17.18,4.289975,5.05,3.09,3.78,5.31,1.2,0.32,22.07,2.12
Marc Gasol,6.3999954,14.22,3.5900145,4.31,1.78,6.9,3.93,0.7,1.29,18.16,2.17
Draymond Green,3.8799698,8.78,1.9799982,2.61,1.15,7.27,6.64,1.46,1.25,10.9,2.64
John Wall,7.2099417,16.67,4.540021,5.71,1.4,3.81,10.05,1.72,0.69,20.36,4.02
Ben Simmons,6.339953,11.95,2.9500064,4.73,0,8.05,7.27,1.78,0.82,15.62,3.09
Jrue Holiday,7.0600662,15.18,2.4599922,3.13,1.5,4.15,5.73,1.54,0.69,18.07,2.64
LaMarcus Aldridge,7.8900482,16.01,3.6999803,4.43,0.43,7.59,1.91,0.55,1.05,19.9,1.46
Myles Turner,5.049982,10.36,2.6599974,3.39,1.03,6.73,1.42,0.61,1.91,13.79,1.54
Kristaps Porzingis,7.229981,16.81,3.740022,4.68,1.71,6.12,1.09,0.67,2.02,19.91,1.85
Kyle Lowry,5.5200231,12.69,3.69,4.5,2.74,4.23,6.52,1.14,0.22,17.47,2.41
Hassan Whiteside,5.4299928,9.96,2.0499925,3.07,0,11.4,1.15,0.57,1.65,12.91,1.59
Donovan Mitchell,8.2100363,19.09,3.4400052,4.23,2.79,3.96,4.16,1.66,0.32,22.64,2.79
Klay Thompson,7.3199514,15.58,1.2300048,1.44,3.24,3.63,2.31,0.8,0.47,19.12,1.7
Tobias Harris,7.0599255,15.35,2.3800032,2.88,1.96,6.73,2.48,0.92,0.5,18.47,1.56
Nikola Vucevic,6.500001,13.98,1.2999933,1.71,1.04,8.87,2.9,0.85,1.02,15.33,1.7
Bradley Beal,7.7799528,16.91,3.0499822,3.83,2.65,3.77,3.87,1.15,0.32,21.26,2.26
Mike Conley,6.09,14,4.4400028,5.29,2.2,2.8,5.86,1.18,0.23,18.83,2.01
DeAndre Jordan,5.1900016,7.84,2.4200195,4.61,0,13.88,1.57,0.58,1.39,12.81,1.7
Khris Middleton,6.2200425,13.83,3.4400048,3.89,1.81,4.77,3.59,1.36,0.23,17.69,2.09
Gary Harris,6.0599757,12.89,2.0100119,2.47,2.32,2.73,2.83,1.65,0.21,16.44,1.65
Enes Kanter,6.0600265,10.67,2.4699954,3.03,0.01,11.5,1.58,0.48,0.52,14.59,1.8
CJ McCollum,8.04996,18,2.659986,3.1,2.46,3.79,3.2,0.91,0.44,21.23,1.82
Gordon Hayward,6.4599813,14.11,4.2699776,5.18,2.05,5.29,3.36,1.08,0.36,19.23,2.24
John Collins,5.3800383,9.87,2.2800015,3.15,0.64,8.25,1.57,0.73,1.17,13.68,1.77
Al Horford,4.4799729,9.47,1.099994,1.4,1.16,6.88,4.74,0.52,1.25,11.21,1.81
Blake Griffin,7.6700448,17.04,4.019987,5.15,1.99,7.23,6.03,0.63,0.31,21.34,2.75
Robert Covington,3.940002,9.9,1.3499988,1.64,2.4,5.2,1.81,1.68,0.86,11.63,1.68
DeMarcus Cousins,5.1000426,10.62,3.8800104,5.16,1.06,7.99,2.66,1.02,1.02,15.14,2.3
Nikola Mirotic,5.0299872,11.76,1.9400018,2.41,2.27,7.08,1.39,0.87,0.79,14.25,1.16
DeMar DeRozan,7.7899836,17.22,5.7999662,6.94,1.16,4.08,4.51,0.98,0.21,22.53,2.23
Nicolas Batum,5.010005,11.83,2.4399981,2.89,1.78,5.63,5.64,1.14,0.5,14.22,2.41
Aaron Gordon,6.8499971,15.23,2.9599924,4.22,2.02,7.6,2.24,0.94,0.76,18.69,1.75
Eric Bledsoe,5.5799604,12.39,3.1800134,3.94,1.54,4.07,4.79,1.55,0.5,15.88,2.73
Joe Ingles,4.2299732,9.19,0.8200008,1.08,2.6,4.28,4.64,1.27,0.2,11.88,1.97
Will Barton,5.6000244,12.66,2.4400068,3.08,1.89,5.24,3.89,0.98,0.61,15.54,1.8
Steven Adams,5.5399832,9.04,2.1499884,3.78,0,8.85,1.15,1.17,1.01,13.22,1.68
Jayson Tatum,5.020035,10.86,2.9500064,3.52,1.37,5.4,1.52,0.98,0.78,14.36,1.39
Jeff Teague,4.8999984,11.33,2.8500138,3.33,1.31,2.83,6.89,1.47,0.29,13.96,2.53
Zach LaVine,7.0699332,16.06,3.6600098,4.46,2.16,4.03,3.47,1.13,0.22,19.95,2.08
Larry Nance Jr.,3.959982,7.02,1.5699994,2.26,0.08,7.01,1.34,1.34,0.65,9.59,0.91
Deandre Ayton,5.4800424,10.29,2.5300134,3.42,0.13,9.23,0.84,0.63,1.26,13.63,1.97
