player,GP
Russell Westbrook,79.5
James Harden,80.5
Giannis Antetokounmpo,80.5
Karl-Anthony Towns,80.5
Paul George,76
Stephen Curry,78
John Wall,77.5
Anthony Davis,72.5
Kevin Durant,74
Nikola Jokic,76.5
LeBron James,73.5
Damian Lillard,76.5
DeMarcus Cousins,72
Kawhi Leonard,76
Jimmy Butler,74.5
Chris Paul,72.5
Andre Drummond,80.5
Kyle Lowry,70.5
Rudy Gobert,77.5
DeAndre Jordan,80
Kemba Walker,79
Draymond Green,76.5
Kristaps Porzingis,72.5
Hassan Whiteside,74
Blake Griffin,67
Jeff Teague,76
Isaiah Thomas,69.5
DeMar DeRozan,76.5
C.J. McCollum,79
Kyrie Irving,71
Paul Millsap,73
Marc Gasol,72
Gordon Hayward,75.5
Myles Turner,77.5
Mike Conley,74.5
Lonzo Ball,73.5
Kevin Love,73.5
Eric Bledsoe,69.5
Klay Thompson,76
Al Horford,73.5
Dennis Schroder,78.5
Nikola Vucevic,71
Brook Lopez,72.5
Jabari Parker,27.5
Nicolas Batum,73.5
Goran Dragic,74.5
Jrue Holiday,70.5
Elfrid Payton,78
Jusuf Nurkic,69
Bradley Beal,73
Devin Booker,77
Carmelo Anthony,71
Zach LaVine,50.5
Victor Oladipo,73
Marcin Gortat,76
Julius Randle,76
Andrew Wiggins,79.5
George Hill,67
Steven Adams,79
Otto Porter,78
Dwight Howard,70
Ricky Rubio,77.5
D'Angelo Russell,73.5
Harrison Barnes,78.5
Derrick Favors,65
Khris Middleton,74
Joel Embiid,56
Ben Simmons,71
Jonas Valanciunas,77.5
Serge Ibaka,77.5
Kent Bazemore,74.5
Trevor Ariza,79
Markelle Fultz,74
Nerlens Noel,63.5
Trevor Booker,73.5
Aaron Gordon,77.5
Tristan Thompson,79.5
Dennis Smith Jr,73.5
Clint Capela,73
Wilson Chandler,68
Dario Saric,77.5
Jamal Murray,77.5
Markieff Morris,75.5
Willie Cauley-Stein,74.5
Evan Fournier,72
Willy Hernangomez,73.5
Reggie Jackson,73
LaMarcus Aldridge,74.5
Marcus Morris,78
Greg Monroe,76.5
Dwyane Wade,63.5
Gorgui Dieng,78
Enes Kanter,72
Buddy Hield,79.5
Robert Covington,69.5
Robin Lopez,79.5
Kentavious Caldwell-Pope,76.5
Ersan Ilyasova,76.5
Will Barton,68.5
Tobias Harris,77
Rudy Gay,64.5
Rajon Rondo,71
Marvin Williams,74.5
Tyreke Evans,63
Zach Randolph,72
Donovan Mitchell,65
Jordan Clarkson,75.5
Avery Bradley,73.5
Josh Jackson,73
Zach Collins,68.5
James Johnson,71.5
Josh Hart,30
Tim Hardaway Jr,76
Dion Waiters,70
Seth Curry,72.5
Jae Crowder,74.5
Justise Winslow,72.5
Darren Collison,68
Dirk Nowitzki,66.5
Derrick Rose,65.5
Jeremy Lin,68.5
Frank Kaminsky,73.5
Marcus Smart,75.5
JaMychal Green,77.5
Rondae Hollis-Jefferson,75
Danilo Gallinari,66
Wesley Matthews,74.5
Cody Zeller,68.5
Pau Gasol,69.5
Jayson Tatum,72.5
Nikola Mirotic,71.5
De'Aaron Fox,72
Kris Dunn,76.5
Austin Rivers,73
Alex Len,76.5
Bojan Bogdanovic,77
Terrence Ross,73.5
Patrick Beverley,70
Lou Williams,77.5
Lauri Markkanen,70
Ryan Anderson,68.5
Mason Plumlee,73
Jarrett Allen,71
Rodney Hood,72.5
Maurice Harkless,75.5
Eric Gordon,72
Andre Iguodala,71
Frank Mason III,20
Jonathan Isaac,49
Allen Crabbe,79
Malik Monk,73.5
T.J. Leaf,63.5
J.R. Smith,68
Courtney Lee,75.5
J.J. Redick,75
Kenneth Faried,65.5
Emmanuel Mudiay,66
Ish Smith,75.5
Ben McLemore,70
Luke Kennard,72
John Collins,71
Monta Ellis,74
Bam Adebayo,51
Jahlil Okafor,57.5
Kelly Olynyk,70
Jamal Crawford,76
D.J. Wilson,29
Harry Giles,55.5
Nick Young,56.5
Terrance Ferguson,43.5
Frank Ntilikina,71
Gary Harris,71
Thaddeus Young,73.5
Michael Kidd-Gilchrist,76
Malcolm Brogdon,77.5
T.J. Warren,67
Marquese Chriss,80
Taj Gibson,73.5
Joe Ingles,79.5
Al-Farouq Aminu,70
P.J. Tucker,78
Danny Green,75
Tyler Johnson,74.5
Jaylen Brown,77.5
Andre Roberson,74.5
Larry Nance,69.5
Dewayne Dedmon,71
Patty Mills,78.5
Norman Powell,77.5
Thon Maker,68
Ian Clark,75.5
Jon Leuer,73
Taurean Prince,71.5
Patrick Patterson,65
C.J. Miles,74
Sam Dekker,76
Caris LeVert,65
Bogdan Bogdanovic,73
DeMarre Carroll,68.5
Skal Labissiere,68
E'Twaun Moore,73
Josh Richardson,66.5
Cory Joseph,76.5
Alan Williams,61
Delon Wright,55
Cheick Diallo,70
Tyson Chandler,62.5
Yogi Ferrell,72.5
Mike Muscala,69.5
Tony Snell,76
Kelly Oubre,76
Thabo Sefolosha,69.5
Kyle Anderson,73.5
Milos Teodosic,67.5
Evan Turner,73
Bismack Biyombo,78
Timofey Mozgov,68
Brandon Ingram,78
Stanley Johnson,76.5
John Henson,61
Glenn Robinson III,70
Manu Ginobili,66
Lucas Nogueira,61
Amir Johnson,71
Jordan Crawford,63
JaVale McGee,72
Ian Mahinmi,56
Matthew Dellavedova,74.5
Luol Deng,61
Dwight Powell,74.5
Aron Baynes,70
Darius Miller,70
Jerami Grant,77.5
Nene Hilario,62
Jeremy Lamb,61
Ed Davis,51.5
Kosta Koufos,70
Zaza Pachulia,72
Lance Stephenson,67.5
Denzel Valentine,67.5
Sean Kilpatrick,71.5
Joe Johnson,76
Bobby Portis,67
Richaun Holmes,70
Tyus Jones,65
Justin Holiday,76
Kyle O'Quinn,70.5
Jared Dudley,60
Joffrey Lauvergne,67.5
Chandler Parsons,57.5
Ivica Zubac,61
Marco Belinelli,72
Boban Marjanovic,63.5
Tyler Ulis,63.5
Brandan Wright,60
Alex Abrines,65
Jonathon Simmons,74.5
Michael Beasley,58.5
Jason Smith,73.5
Cole Aldrich,64
Domantas Sabonis,78.5
Miles Plumlee,60
Noah Vonleh,73.5
