player,MPG,PTS,TPM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA
Nikola Jokic,33.6,24.7,1.1,11.8,9.3,1.3,0.7,3.6,9.3,15.3,4.8,5.9
Joel Embiid,34.7,32.0,1.1,10.7,4.1,1.0,1.6,3.3,10.5,19.9,9.9,11.8
Luka Doncic,35.8,31.0,2.9,8.7,7.9,1.3,0.5,3.7,10.4,21.7,7.3,9.7
Shai Gilgeous-Alexander,35.7,30.1,1.1,4.7,5.7,1.5,0.9,2.9,9.8,19.6,9.3,10.5
Jayson Tatum,36.7,29.8,3.2,8.0,5.1,1.1,0.7,2.9,9.9,21.3,6.9,8.1
Tyrese Haliburton,35.2,21.2,2.8,4.0,10.1,1.6,0.5,2.7,7.7,15.8,3.0,3.5
Stephen Curry,34.6,28.1,4.8,5.5,5.6,1.0,0.3,3.1,9.4,19.6,4.5,4.9
LaMelo Ball,35.1,23.0,3.7,6.7,8.5,1.5,0.4,3.5,8.3,19.4,2.9,3.4
Damian Lillard,34.9,28.5,3.8,4.1,7.0,0.9,0.3,3.0,8.5,18.8,7.6,8.5
Domantas Sabonis,34.7,19.1,0.5,12.1,7.1,0.9,0.5,3.0,7.2,12.2,4.1,5.5
Giannis Antetokounmpo,33.2,30.5,0.9,11.8,5.8,1.0,1.1,3.6,10.7,19.1,8.0,11.8
Kevin Durant,35.3,25.5,1.9,6.8,4.8,0.9,1.2,3.0,8.8,16.6,5.7,6.4
Anthony Davis,34.0,24.6,0.3,11.4,2.7,1.1,2.0,2.1,9.3,17.2,5.6,7.4
Donovan Mitchell,35.5,27.3,3.5,4.3,4.6,1.5,0.3,2.7,9.7,20.7,4.5,5.3
Devin Booker,35.0,26.1,2.2,4.8,6.3,1.0,0.3,2.6,9.2,18.9,5.4,6.2
Anthony Edwards,35.9,26.4,3.0,5.6,4.5,1.5,0.7,3.2,9.4,20.5,4.5,5.8
Kyrie Irving,36.1,26.1,3.0,4.9,5.6,1.2,0.7,2.1,9.6,19.5,4.0,4.5
Trae Young,35.0,26.7,2.3,3.2,9.8,1.1,0.1,4.0,8.5,19.5,7.5,8.5
Jaren Jackson Jr.,30.7,19.4,1.8,7.1,1.1,1.0,2.7,1.8,6.7,14.0,4.1,5.2
Mikal Bridges,35.6,23.5,2.3,4.7,3.2,1.1,0.7,1.7,8.3,17.2,4.6,5.3
James Harden,34.8,19.9,2.5,6.0,10.0,1.2,0.5,3.4,6.0,13.8,5.5,6.3
LeBron James,34.9,27.6,2.4,8.0,6.5,1.0,0.6,3.1,10.5,20.8,4.4,5.8
Jimmy Butler,33.6,21.7,0.5,6.2,5.3,1.7,0.4,1.8,6.9,13.6,7.1,8.3
Lauri Markkanen,34.2,25.5,3.1,8.5,1.9,0.7,0.6,1.9,8.6,17.7,5.4,6.2
Kawhi Leonard,34.0,24.2,2.0,6.4,4.1,1.4,0.5,1.8,8.6,17.0,4.8,5.6
Karl-Anthony Towns,33.1,21.2,2.1,8.8,4.5,0.8,0.8,2.9,7.5,14.9,4.4,5.2
Bam Adebayo,34.3,20.2,0.0,9.5,3.4,1.2,0.9,2.5,8.0,14.6,4.4,5.6
Dejounte Murray,35.9,20.7,1.8,5.7,6.2,1.6,0.3,2.2,8.3,18.0,2.2,2.7
Desmond Bane,32.9,22.1,3.2,5.1,4.1,1.2,0.4,2.2,8.0,16.9,3.0,3.4
Fred VanVleet,34.0,18.6,3.1,3.8,6.4,1.6,0.5,2.2,6.1,15.2,3.2,3.7
Jalen Brunson,35.2,24.1,2.1,3.8,6.3,1.0,0.1,2.1,8.8,17.8,4.5,5.4
Pascal Siakam,36.4,23.6,1.2,7.8,5.6,1.0,0.5,2.4,8.8,18.3,4.9,6.4
Paul George,34.5,23.4,2.9,6.2,5.1,1.5,0.4,3.2,8.1,18.0,4.4,5.1
Kristaps Porzingis,31.5,20.4,1.9,8.1,2.3,0.8,1.5,1.8,6.9,14.4,4.7,5.6
De'Aaron Fox,34.6,25.0,1.6,4.1,6.3,1.3,0.4,2.6,9.4,18.9,4.7,6.2
Nikola Vucevic,33.1,17.7,1.5,11.0,3.2,0.8,0.8,1.8,7.3,14.7,1.5,1.9
Darius Garland,35.6,21.6,2.5,2.9,7.8,1.2,0.1,3.1,7.7,16.7,3.8,4.4
DeMar DeRozan,35.9,24.6,0.7,4.7,5.1,1.0,0.4,2.2,8.9,17.9,6.3,7.2
Victor Wembanyama,31.2,18.0,1.0,8.8,2.1,0.7,2.4,2.2,6.6,14.4,4.0,5.2
Myles Turner,29.8,16.5,1.5,7.3,1.3,0.6,2.4,1.5,5.9,11.2,3.1,4.0
Jaylen Brown,35.7,25.3,2.5,6.2,3.6,1.1,0.4,2.9,9.6,19.5,3.8,5.0
Cade Cunningham,34.5,21.3,1.9,6.3,6.4,1.2,0.7,3.5,8.2,18.9,3.2,3.8
Evan Mobley,34.5,16.6,0.3,9.3,2.9,0.9,1.6,1.9,6.7,12.5,2.7,4.0
Jrue Holiday,32.7,18.0,2.2,4.7,6.6,1.4,0.4,2.7,6.9,14.2,2.2,2.7
Jamal Murray,34.1,20.8,2.7,4.1,6.2,1.1,0.3,2.3,7.6,16.5,2.8,3.4
Zach LaVine,35.6,24.8,2.7,4.5,4.4,0.8,0.3,2.6,8.7,18.1,4.7,5.6
Zion Williamson,33.7,27.2,0.3,7.6,4.5,1.1,0.6,3.3,10.4,17.1,6.3,8.8
Nicolas Claxton,29.6,11.6,0.0,9.1,1.8,0.8,2.3,1.3,5.0,7.3,1.6,2.8
Walker Kessler,28.1,11.2,0.0,10.0,1.1,0.4,2.5,1.1,4.9,7.1,1.4,2.6
Jarrett Allen,32.4,14.4,0.0,10.1,1.7,0.8,1.4,1.4,6.0,9.2,2.5,3.5
Brandon Ingram,34.5,24.4,1.6,5.4,5.6,0.7,0.4,3.0,8.8,18.6,5.1,6.0
Tyrese Maxey,34.7,22.0,2.8,3.2,4.2,0.8,0.3,1.4,7.9,16.3,3.5,4.2
Jordan Poole,34.5,24.6,3.3,3.4,5.0,0.9,0.3,3.3,8.0,18.3,5.1,5.8
Scottie Barnes,34.1,17.2,0.9,6.7,5.4,1.1,0.8,2.1,6.7,14.4,3.1,4.0
Alperen Sengun,30.4,15.4,0.4,9.6,4.0,1.0,1.0,2.7,6.2,11.4,3.0,4.2
Julius Randle,35.6,23.9,2.5,10.0,4.4,0.7,0.3,3.0,8.2,18.1,5.0,6.6
O.G. Anunoby,34.5,17.6,2.2,5.0,2.4,1.6,0.7,2.0,6.8,14.5,2.0,2.5
Deandre Ayton,31.2,17.0,0.1,10.5,1.7,0.7,0.9,1.8,7.5,12.6,1.9,2.5
Chet Holmgren,30.2,13.8,1.2,8.8,1.9,0.6,1.9,1.6,5.0,9.7,2.5,3.5
Jalen Williams,32.7,16.0,1.2,4.9,3.3,1.5,0.5,1.8,6.1,11.7,2.6,3.2
Bradley Beal,33.5,21.6,1.7,4.0,5.0,1.0,0.5,2.9,7.9,16.4,3.8,4.5
Rudy Gobert,30.2,12.8,0.0,11.7,1.1,0.7,1.6,1.7,4.9,7.3,3.3,5.1
Josh Giddey,32.8,17.4,1.1,8.0,6.6,0.9,0.4,2.9,7.4,15.5,1.5,2.1
Cameron Johnson,30.3,16.0,2.6,4.8,2.1,1.2,0.3,1.0,5.4,11.6,2.4,2.9
Franz Wagner,33.4,19.3,1.7,4.3,3.8,1.0,0.3,2.1,7.0,14.4,3.6,4.2
Jakob Poeltl,28.2,13.0,0.0,9.9,2.6,0.9,1.4,1.6,5.8,9.2,1.6,2.8
Paolo Banchero,34.4,22.3,1.4,7.7,4.2,1.0,0.7,2.8,7.5,17.2,5.8,7.8
Brook Lopez,29.1,13.7,1.5,5.9,1.0,0.5,1.9,1.1,5.2,10.1,1.7,2.1
Ja Morant,33.0,26.7,1.6,5.9,7.6,1.1,0.3,3.4,9.6,20.1,6.2,8.2
Khris Middleton,31.8,18.7,2.4,5.1,5.1,1.0,0.2,2.6,6.4,14.2,3.4,3.8
Devin Vassell,31.0,17.8,2.7,4.2,3.6,1.2,0.5,1.3,6.6,14.9,2.1,2.6
Terry Rozier,33.0,19.7,2.8,4.0,4.6,1.2,0.3,1.8,7.3,17.0,2.5,3.1
Chris Paul,27.1,12.1,1.3,3.8,7.3,1.3,0.3,1.8,4.4,9.5,2.0,2.4
Clint Capela,26.4,11.5,0.0,11.1,0.9,0.7,1.3,0.7,5.2,8.1,1.2,2.1
